strategy,model,budget,metric,value
sliding,baseline,100,n_conversations,1.0
sliding,baseline,100,elapsed_sec,149.3
sliding,baseline,100,rouge.rouge1,0.3636481338924685
sliding,baseline,100,rouge.rouge2,0.25524495090559207
sliding,baseline,100,rouge.rougeL,0.36084308480410937
sliding,baseline,100,detection.agenda_item.precision,0.09090909090909091
sliding,baseline,100,detection.agenda_item.recall,0.6666666666666666
sliding,baseline,100,detection.agenda_item.f1,0.16
sliding,baseline,100,detection.detail.precision,0.13114754098360656
sliding,baseline,100,detection.detail.recall,0.5714285714285714
sliding,baseline,100,detection.detail.f1,0.21333333333333332
sliding,baseline,100,detection.medication.precision,0.0
sliding,baseline,100,detection.medication.recall,0.0
sliding,baseline,100,detection.medication.f1,0.0
sliding,baseline,100,detection.social_history.precision,0.0
sliding,baseline,100,detection.social_history.recall,0.0
sliding,baseline,100,detection.social_history.f1,0.0
sliding,baseline,100,detection.follow_up.precision,0.0
sliding,baseline,100,detection.follow_up.recall,0.0
sliding,baseline,100,detection.follow_up.f1,0.0
sliding,baseline,100,detection.question.precision,0.07894736842105263
sliding,baseline,100,detection.question.recall,0.2727272727272727
sliding,baseline,100,detection.question.f1,0.12244897959183672
sliding,baseline,100,detection.question_unanswered.precision,0.0
sliding,baseline,100,detection.question_unanswered.recall,0.0
sliding,baseline,100,detection.question_unanswered.f1,0.0
sliding,baseline,100,detection.irrelevant.precision,0.8823529411764706
sliding,baseline,100,detection.irrelevant.recall,0.13761467889908258
sliding,baseline,100,detection.irrelevant.f1,0.2380952380952381
sliding,baseline,100,detection.macro_avg.precision,0.1479196176862776
sliding,baseline,100,detection.macro_avg.recall,0.20605464871519918
sliding,baseline,100,detection.macro_avg.f1,0.09173469387755101
sliding,baseline,100,hardware.avg_latency_ms,2041.8043042443794
sliding,baseline,100,hardware.total_relevant,56.0
sliding,baseline,100,hardware.final_buffer_size,10.0
sliding,baseline,100,hardware.final_buffer_tokens,64.0
random,baseline,100,n_conversations,1.0
random,baseline,100,elapsed_sec,161.3
random,baseline,100,rouge.rouge1,0.30714607087672097
random,baseline,100,rouge.rouge2,0.18761084489412663
random,baseline,100,rouge.rougeL,0.3000498990746668
random,baseline,100,detection.agenda_item.precision,0.09090909090909091
random,baseline,100,detection.agenda_item.recall,0.6666666666666666
random,baseline,100,detection.agenda_item.f1,0.16
random,baseline,100,detection.detail.precision,0.08333333333333333
random,baseline,100,detection.detail.recall,0.35714285714285715
random,baseline,100,detection.detail.f1,0.13513513513513514
random,baseline,100,detection.medication.precision,0.0
random,baseline,100,detection.medication.recall,0.0
random,baseline,100,detection.medication.f1,0.0
random,baseline,100,detection.social_history.precision,0.0
random,baseline,100,detection.social_history.recall,0.0
random,baseline,100,detection.social_history.f1,0.0
random,baseline,100,detection.follow_up.precision,0.0
random,baseline,100,detection.follow_up.recall,0.0
random,baseline,100,detection.follow_up.f1,0.0
random,baseline,100,detection.question.precision,0.047619047619047616
random,baseline,100,detection.question.recall,0.18181818181818182
random,baseline,100,detection.question.f1,0.07547169811320754
random,baseline,100,detection.question_unanswered.precision,0.0
random,baseline,100,detection.question_unanswered.recall,0.0
random,baseline,100,detection.question_unanswered.f1,0.0
